freq_hz,pct_diff,lower_ci,upper_ci
3.8901960784313725,4.450722415270438,2.6755169313531337,6.229398393016736
4.015686274509804,4.9112696423454905,3.155629167527024,6.654218699312979
4.141176470588235,5.459195064327836,3.692232805429457,7.177806703531113
4.266666666666667,5.452858667347057,3.7006091631201734,7.1917769709760355
4.392156862745098,5.318332694829888,3.585816794333574,7.09593666917727
4.517647058823529,5.082809366597398,3.36015646144401,6.841958201298551
4.64313725490196,4.9214986823557085,3.1708937996125655,6.681764410606216
4.768627450980392,4.774209604811384,3.0548789331891237,6.536131934246694
4.894117647058824,5.181550803240375,3.4694671905808567,6.933661819786086
5.019607843137255,5.599652197574785,3.8874734526934884,7.343968684671079
5.145098039215686,6.111805335305779,4.375764987902007,7.846308154449371
5.270588235294118,6.73800510278536,4.955619667966558,8.47263386652582
5.396078431372549,7.065354162529728,5.279440550342894,8.810922919442598
5.52156862745098,7.563886808312849,5.786005505213247,9.305661277255478
5.647058823529411,7.805298874410297,6.069114676728653,9.497725758823599
5.772549019607843,8.42743379248207,6.683888050959243,10.15417007406235
5.898039215686275,9.07491783427847,7.316818824647653,10.772099069038344
6.023529411764706,9.321047581881887,7.620804855377422,10.981249722402548
6.149019607843137,9.784837371622213,8.048184554552305,11.417455250112502
6.2745098039215685,9.694336688580323,7.966225639801993,11.333849537400393
6.4,9.901685467205306,8.19366182803892,11.546923300279591
6.525490196078431,10.646719808033044,8.908670248456525,12.277076168470131
6.650980392156862,10.94322624601398,9.176896731786105,12.563754610644827
6.776470588235294,11.247745782613615,9.501369230080222,12.854772487628123
6.901960784313726,11.03202419202768,9.33918161968357,12.683836740990193
7.027450980392157,10.766456478898503,9.07183251874488,12.386158359926496
7.152941176470588,10.25560880959809,8.60564467402252,11.865532209020811
7.2784313725490195,9.36812065147885,7.795509763332717,10.961276881323718
7.403921568627451,8.727893695671153,7.227923979988731,10.265656156568708
7.529411764705882,8.292998409601221,6.775005312151657,9.824385153570116
7.654901960784313,7.936789165949709,6.441717933975916,9.466651094664753
7.780392156862745,7.65708920286998,6.189913590351577,9.20872941779099
7.905882352941177,7.960102952860004,6.503375071731751,9.510731307030905
8.031372549019608,7.967897136509686,6.544515281828632,9.49394832764999
8.156862745098039,7.773209289722834,6.339254679852053,9.189657058518321
8.28235294117647,7.263488296407202,5.866850473288413,8.709994145850382
8.407843137254902,6.4712174184324205,5.0854665419965075,7.899792589472175
8.533333333333333,5.9964382432634995,4.626504425557387,7.360808269824317
8.658823529411764,5.477438702742879,4.098045031948906,6.88618493838673
8.784313725490197,5.728299740931568,4.31450344458156,7.124318944177173
8.909803921568628,6.006949980800639,4.537817071957142,7.429805904937889
9.035294117647059,6.013744855676486,4.567597354605093,7.446382997339919
9.16078431372549,6.263775758987856,4.760313382640277,7.7121094660559395
9.28627450980392,5.220884604772744,3.7689020920051144,6.657083218020919
9.411764705882353,4.270726706010638,2.7905109942882147,5.724269319261876
9.537254901960784,3.767057465662778,2.2643998247920742,5.238987098474689
9.662745098039215,3.047259310041788,1.5467714843394158,4.5237033382594
9.788235294117648,2.9481535965678765,1.4528990108642157,4.402400234508051
9.913725490196079,2.6013731254379695,1.1556602283655089,4.0277249556265655
10.03921568627451,2.4348569828653037,0.9381316565273782,3.852662322293017
10.16470588235294,1.8881947127043288,0.3893998793784186,3.293970184868353
10.290196078431372,1.0394990981511543,-0.4360904580273072,2.4231753107712195
10.415686274509804,1.0385213300300102,-0.4309865186417173,2.4082856706021327
10.541176470588235,0.783832151966745,-0.6632101058585652,2.1607908629371226
10.666666666666666,1.3625069223477064,-0.09521404214055633,2.7423987846069724
10.792156862745099,2.1217426241281006,0.6300571118170623,3.5074790680503867
10.91764705882353,3.4623385283065957,2.0067839968854577,4.854031419279211
11.04313725490196,4.591250301069593,3.097991200683338,5.998991667674343
11.168627450980392,5.343501345007963,3.8436735689727324,6.788071326704367
11.294117647058822,6.152800181029463,4.631788205384893,7.613991577353329
11.419607843137255,6.978598800036519,5.486670621866639,8.449169682657384
11.545098039215686,7.481179664765439,5.999311310634289,8.982755979412763
11.670588235294117,7.9511046204915115,6.468031388607862,9.544011565298842
11.79607843137255,8.626310820092852,7.1270906968869205,10.279679751068892
11.92156862745098,9.411256172169095,7.84895883715627,11.054166049447893
12.047058823529412,10.315229677173656,8.69441628635407,11.935844682090565
12.172549019607843,10.622968855779007,9.015094226563944,12.291503013096627
12.298039215686273,9.906854581259484,8.3567925164248,11.527264248932678
12.423529411764706,9.533726638442678,7.98824635204079,11.181114866471633
12.549019607843137,9.004992026781586,7.457803106734468,10.684998064297522
12.674509803921568,8.214645619334636,6.636472579917236,9.85950707012045
12.8,8.02256816707421,6.532605662816079,9.664736199149944
12.925490196078432,7.892176764238545,6.435252642141925,9.482513640947491
13.050980392156863,7.84414915374542,6.397504085425369,9.401479015110326
13.176470588235293,8.026537892205202,6.63699552547214,9.560124171642004
13.301960784313724,8.115935009451666,6.724690931687941,9.60229729163597
13.427450980392157,8.077163382367113,6.698471584560558,9.546182123231997
13.552941176470588,8.225104979141927,6.851296649181812,9.658522027616337
13.678431372549019,8.662235604662394,7.2709134545576495,10.108813290304298
13.803921568627452,9.238740250945463,7.799602978822209,10.703108563671586
13.929411764705883,9.795670194078737,8.365024456389328,11.270641842285421
14.054901960784314,10.366720847301067,8.905263742447678,11.884575904251838
14.180392156862744,10.782582859683782,9.344789747568512,12.366415841730436
14.305882352941175,10.787702517282778,9.324380272603664,12.384384394854848
14.431372549019608,11.134321898822398,9.630672449594242,12.725809539244025
14.556862745098039,11.439200177218648,9.936277300457922,13.08786387211552
14.68235294117647,11.664083431691388,10.18853242219219,13.300028970712816
14.807843137254903,12.169012235370996,10.654228878787182,13.76023092282617
14.933333333333334,12.542689632488225,11.056118164737013,14.134876250253281
15.058823529411764,12.39324978035962,10.839389467257952,14.048785901849987
15.184313725490195,11.897662668975322,10.304078514942828,13.571834145261313
15.309803921568626,11.354271386961551,9.764485571951631,13.034496007436898
15.435294117647059,10.685463268922684,9.08373959533347,12.321493613973068
15.56078431372549,10.596632179526607,9.036427663862588,12.252570321462324
15.686274509803921,10.888822156085473,9.381178203520898,12.532086342686878
15.811764705882354,10.843934282087377,9.304834690540606,12.480236570631869
15.937254901960785,10.925860965181647,9.391345494227359,12.572932205435457
16.062745098039215,10.736403046201772,9.23147743129287,12.372270646089282
16.188235294117646,10.43958863614024,8.910260788040695,12.079364972392751
16.313725490196077,9.79427034618155,8.206770714545089,11.420452610862881
16.43921568627451,9.103353428283095,7.560800144194437,10.71011164439166
16.56470588235294,8.786712458763324,7.2432985388729145,10.42666713418642
16.690196078431374,8.254560365456888,6.6775185305264175,9.871342659539106
16.815686274509805,8.439455815028547,6.924041711201364,10.043544036886829
16.941176470588236,8.657761772039484,7.090471246105749,10.258388774957034
17.066666666666666,9.064627958152125,7.514247169854399,10.683028190957733
17.192156862745097,9.348491683110783,7.7831743804572335,11.01262340421158
17.31764705882353,9.060427671420907,7.482969103976736,10.693208286276473
17.44313725490196,8.833180661389251,7.255114436074787,10.442947515893358
17.568627450980394,8.68099434956725,7.138081908024676,10.369258455961713
17.694117647058825,8.699448674089645,7.129029979663857,10.378449808214835
17.819607843137256,8.652250401874364,7.116152357948972,10.307044962464524
17.945098039215686,8.786030479164292,7.1988042094754965,10.41907239659315
18.070588235294117,8.862348574020485,7.309243533970448,10.52454031341417
18.19607843137255,9.093147416462443,7.536419289170249,10.769844866745885
18.32156862745098,9.080091631796348,7.519230895228681,10.738252841977124
18.44705882352941,9.143538026113793,7.648909873560663,10.828950144536954
18.57254901960784,9.0890351373344,7.570962552935114,10.735884404197803
18.698039215686276,8.808651048108187,7.314892322364785,10.446553442754164
